slug,category,title,format,dimensions,canva_editable_source,svg_export,png_export,photo_direction,grid
guildsa-buildathon01-poster,Event Launch,BUILD / SOMETHING / THAT / MATTERS,poster,2160x2700,Marketing/canva/guildsa-buildathon01-poster.svg,Marketing/svg/guildsa-buildathon01-poster.svg,Marketing/png/guildsa-buildathon01-poster.png,"Teams building with laptops, whiteboards, and product demos.","12 columns, 8px baseline, modular spacing"
guildsa-buildathon01-announcement,Event Launch,THE BUILDER / MOVEMENT / BEGINS,poster,2160x2700,Marketing/canva/guildsa-buildathon01-announcement.svg,Marketing/svg/guildsa-buildathon01-announcement.svg,Marketing/png/guildsa-buildathon01-announcement.png,Campus startup environment with focused teams.,"12 columns, 8px baseline, modular spacing"
guildsa-applications-open,Event Launch,APPLICATIONS / ARE OPEN,social,1600x2000,Marketing/canva/guildsa-applications-open.svg,Marketing/svg/guildsa-applications-open.svg,Marketing/png/guildsa-applications-open.png,Laptop work session and application moment.,"12 columns, 8px baseline, modular spacing"
guildsa-first-100-builders,Event Launch,FIRST / 100 / BUILDERS,social,1600x2000,Marketing/canva/guildsa-first-100-builders.svg,Marketing/svg/guildsa-first-100-builders.svg,Marketing/png/guildsa-first-100-builders.png,Team formation table with role tags.,"12 columns, 8px baseline, modular spacing"
guildsa-instagram-post-series,Social Media,BUILD. / SHIP. / PROVE. / LAUNCH.,square,1600x1600,Marketing/canva/guildsa-instagram-post-series.svg,Marketing/svg/guildsa-instagram-post-series.svg,Marketing/png/guildsa-instagram-post-series.png,Tight crops of workstations and sprint rituals.,"12 columns, 8px baseline, modular spacing"
guildsa-instagram-carousel-series,Social Media,A SYSTEM / OF / BUILDERS,square,1600x1600,Marketing/canva/guildsa-instagram-carousel-series.svg,Marketing/svg/guildsa-instagram-carousel-series.svg,Marketing/png/guildsa-instagram-carousel-series.png,Alternating text spreads and photo modules.,"12 columns, 8px baseline, modular spacing"
guildsa-linkedin-launch-series,Social Media,INNOVATION / INFRASTRUCTURE / FOR STUDENTS,landscape,1920x1080,Marketing/canva/guildsa-linkedin-launch-series.svg,Marketing/svg/guildsa-linkedin-launch-series.svg,Marketing/png/guildsa-linkedin-launch-series.png,Premium campus and demo-day scenes.,"12 columns, 8px baseline, modular spacing"
guildsa-x-twitter-graphics,Social Media,SOUTH AFRICA / HAS TALENT. / NOW SHOW / THE PROOF.,landscape,1920x1080,Marketing/canva/guildsa-x-twitter-graphics.svg,Marketing/svg/guildsa-x-twitter-graphics.svg,Marketing/png/guildsa-x-twitter-graphics.png,Minimal text-led graphics with no stock cliches.,"12 columns, 8px baseline, modular spacing"
guildsa-whatsapp-share-cards,Social Media,SEND THIS / TO A / BUILDER,square,1600x1600,Marketing/canva/guildsa-whatsapp-share-cards.svg,Marketing/svg/guildsa-whatsapp-share-cards.svg,Marketing/png/guildsa-whatsapp-share-cards.png,Phone-forwardable typographic cards.,"12 columns, 8px baseline, modular spacing"
guildsa-countdown-30days,Countdown Series,30 DAYS / TO GO,square,1600x1600,Marketing/canva/guildsa-countdown-30days.svg,Marketing/svg/guildsa-countdown-30days.svg,Marketing/png/guildsa-countdown-30days.png,"Desk calendar, laptop, and team planning.","12 columns, 8px baseline, modular spacing"
guildsa-countdown-14days,Countdown Series,14 DAYS / TO GO,square,1600x1600,Marketing/canva/guildsa-countdown-14days.svg,Marketing/svg/guildsa-countdown-14days.svg,Marketing/png/guildsa-countdown-14days.png,Checklist and sprint planning.,"12 columns, 8px baseline, modular spacing"
guildsa-countdown-7days,Countdown Series,7 DAYS / TO GO,square,1600x1600,Marketing/canva/guildsa-countdown-7days.svg,Marketing/svg/guildsa-countdown-7days.svg,Marketing/png/guildsa-countdown-7days.png,Pre-event preparation scene.,"12 columns, 8px baseline, modular spacing"
guildsa-countdown-3days,Countdown Series,3 DAYS / TO GO,square,1600x1600,Marketing/canva/guildsa-countdown-3days.svg,Marketing/svg/guildsa-countdown-3days.svg,Marketing/png/guildsa-countdown-3days.png,Laptop closeups and workspace setup.,"12 columns, 8px baseline, modular spacing"
guildsa-countdown-tomorrow,Countdown Series,TOMORROW,square,1600x1600,Marketing/canva/guildsa-countdown-tomorrow.svg,Marketing/svg/guildsa-countdown-tomorrow.svg,Marketing/png/guildsa-countdown-tomorrow.png,Final prep and arrival energy.,"12 columns, 8px baseline, modular spacing"
